asset_id,name,industry,close,ma30_hold_ratio_90d,ma30_deviation_pct,total_mv_yi,avg_amount_20d_yi_estimated,max_turnover_rate_20d,context_strength_pass,primary_reason,all_reasons
688057.SH,金达莱,环境保护,16.36,0.5888888888888889,0.1376384961290611,45.1536,0.8590342675,6.5282,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
688061.SH,灿瑞科技,半导体,49.01,0.5555555555555556,0.1393258426966304,56.307294940000006,1.3174533850000003,4.0246,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold
688123.SH,聚辰股份,半导体,204.0,0.4,0.34886140228689233,324.16130400000003,24.73591348,19.7475,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed
688131.SH,皓元医药,化学制药,91.99,0.6333333333333333,0.12956171515578174,196.15404859,7.174444089,7.4646,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
688156.SH,路德科技,饲料,29.91,0.8,0.09774896011744505,30.123617219999996,1.3971143510000001,10.5463,False,total_mv_below_threshold,total_mv_below_threshold;industry_concept_strength_failed
688163.SH,赛伦生物,生物制药,48.57,0.6777777777777778,0.15970519881570122,52.562454,1.4477498494999999,6.6685,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
688237.SH,超卓航科,航空,54.33,0.6,0.05945671886273729,48.7242306,1.6437712904999997,8.5384,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
688305.SH,科德数控,机床制造,73.96,0.5222222222222223,0.12106467797432319,98.29779532,3.898757974,11.6287,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold
688319.SH,欧林生物,生物制药,42.72,0.7444444444444445,0.16883116883116878,173.19085296,4.890257373999999,7.0058,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
688322.SH,奥比中光,元器件,147.33,0.6,0.1860090696863177,605.89064709,35.083116885,13.2883,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
688362.SH,甬矽电子,半导体,90.0,0.7,0.2892812973034924,407.72151,29.57591582,12.116,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
688450.SH,光格科技,电器仪表,63.48,0.8333333333333334,0.284959549818834,41.8968,1.7014080754999998,14.6359,False,total_mv_below_threshold,total_mv_below_threshold;industry_concept_strength_failed
688605.SH,先锋精科,半导体,100.0,0.6222222222222222,0.20277118480980283,202.3798,8.087276941,12.8735,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
688620.SH,安凯微,半导体,16.62,0.5,0.24045279263590014,65.1504,2.490695377,10.3182,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold
688729.SH,屹唐股份,半导体,42.63,0.4888888888888889,0.3956762301790844,1259.955228,11.8388717245,35.4486,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;turnover_quality_failed
688758.SH,赛分科技,化工原料,21.86,0.5444444444444444,0.12429281673238468,91.03905226,1.278280175,4.1732,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
920111.BJ,聚星科技,电气设备,36.63,0.5777777777777777,0.12627986348122833,56.833093350000006,1.8519679020400015,11.2084,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
920491.BJ,奥迪威,元器件,31.0,0.5555555555555556,0.08110621577950061,43.7543858,1.8806434322699996,9.1859,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;total_mv_below_threshold
920981.BJ,晶赛科技,元器件,46.44,0.6,0.13348465988138059,35.5117392,2.6977621307449997,26.0598,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;turnover_quality_failed
