trade_date,asset_id,name,industry,market,close,close_to_high_60d_pct,ma20_deviation_pct,red_k_ratio_20d,green_k_ratio_20d,long_shadow_ratio_20d,max_drawdown_60d,max_drawdown_120d,amount_ratio_20d,weekly_asof_trade_date,weekly_ma20_slope_4w,weekly_max_drawdown_26w,setup_score_diag
20260703,002289.SZ,宇顺电子,元器件,主板,46.77,-0.0330783543518709,0.1030920540578788,0.75,0.25,0.513603402018753,-0.18663250053384572,-0.18925081433224755,1.698895528525997,20260703,0.1009629089987647,-0.14394440767703498,63.137489
20260703,002353.SZ,杰瑞股份,化工机械,主板,161.46,-0.07025221697569961,0.040807841190747096,0.55,0.44999999999999996,0.526290803472496,-0.15478521248416444,-0.24961996959756771,0.8319873653426102,20260703,0.12505911293716454,-0.2150204081632653,47.304557
20260703,002559.SZ,亚威股份,机床制造,主板,14.24,-0.07412223667100137,0.263195245276324,0.85,0.15000000000000002,0.5017293129299649,-0.20721476510067116,-0.20721476510067116,3.143629304166174,20260703,0.020866464266782403,-0.16666666666666674,59.850248
20260703,002631.SZ,德尔未来,家居用品,主板,10.91,-0.04965156794425085,0.20712547023677796,0.6,0.4,0.5566825675813274,-0.24777777777777787,-0.24777777777777787,1.0540576828699657,20260703,0.09555249220053685,-0.21886792452830195,48.254621
20260703,002643.SZ,万润股份,化工原料,主板,20.25,-0.07195233730522455,0.14714629655856104,0.7,0.30000000000000004,0.5230322856021775,-0.24739440482720787,-0.24739440482720787,1.1634600092591276,20260703,0.008809645509486153,-0.20737073707370735,48.159331
20260703,002718.SZ,友邦吊顶,其他建材,主板,110.99,-0.07884471740393395,0.03886743886743882,0.65,0.35,0.5891949188500435,-0.11299579135314375,-0.3162541972391494,0.8792041429695515,20260703,0.1111142493998023,-0.280429292929293,49.308152
20260703,002745.SZ,木林森,元器件,主板,11.96,-0.0641627543035993,0.07549120992761127,0.5,0.5,0.6079961079558954,-0.1609090909090909,-0.27064220183486243,1.0395864928851761,20260703,0.02984754133562384,-0.24311926605504586,46.501626
20260703,002774.SZ,快意电梯,运输设备,主板,14.39,-0.008270158511371362,0.12650696727728206,0.65,0.35,0.6140433738191409,-0.1858006042296073,-0.3364548494983277,0.8068513169295524,20260703,0.025512210038880045,-0.30836120401337785,57.969555
20260703,002821.SZ,凯莱英,生物制药,主板,165.8,-0.01162444113263783,0.24509060324564635,0.6,0.4,0.5044254218544297,-0.1437576875768759,-0.1437576875768759,1.9963728998543815,20260703,0.0662969155689681,-0.11487934407900868,66.019242
20260703,002916.SZ,深南电路,元器件,主板,454.48,-0.007468879668049655,0.08203469567774202,0.5,0.5,0.5720878703276576,-0.1188557806912992,-0.2666299028055421,1.344355560613109,20260703,0.1351741511810578,-0.2546065998738877,61.781172
20260703,002925.SZ,盈趣科技,元器件,主板,23.82,-0.05775316455696211,0.0450806186245476,0.55,0.44999999999999996,0.5944781119240468,-0.10432330827067682,-0.20144496387590316,0.9305653001192783,20260703,0.023909507973881583,-0.18997025074373153,51.398946
20260703,002955.SZ,鸿合科技,IT设备,主板,37.15,-0.01038891848694723,0.1353564988845084,0.75,0.25,0.5181012567203696,-0.13182674199623357,-0.24450999672238616,0.9089728082012757,20260703,0.0456166589967788,-0.24202564945741534,65.302552
20260703,002971.SZ,和远气体,化工原料,主板,71.54,-0.0463876299653424,0.1685819060920133,0.75,0.25,0.5699658162144702,-0.22591603979616603,-0.22591603979616603,1.3958750809516893,20260703,0.2111131616991171,-0.17641349187090516,55.732452
20260703,002972.SZ,科安达,运输设备,主板,18.81,-0.03834355828220859,0.16937614621864405,0.65,0.35,0.5682857504950077,-0.14296241709653645,-0.1690031152647975,0.8779948027653971,20260703,0.06619253844014472,-0.13402829486224865,55.814716
20260703,003043.SZ,华亚智能,半导体,主板,100.07,-0.0559433962264152,0.1768649080923428,0.65,0.35,0.514909121809221,-0.1015197568389058,-0.1882437793003966,1.3141846419895304,20260703,0.12293932584269651,-0.14054839295442167,58.271551
20260703,300005.SZ,探路者,服饰,创业板,23.65,-0.03192795742939014,0.24657389837655486,0.5,0.5,0.6078603247189858,-0.13245823389021494,-0.23320158102766797,0.9385422651175657,20260703,0.07982148332368078,-0.12725090036014408,51.81218
20260703,300037.SZ,新宙邦,化工原料,创业板,88.96,-0.04906467129877079,0.0712780433761635,0.45,0.55,0.542870762254299,-0.11881327334083247,-0.16769759450171828,0.8648517637718148,20260703,0.0941240834190713,-0.13797250859106536,50.441406
20260703,300093.SZ,金刚光伏,电气设备,创业板,25.34,-0.07043286867204701,0.060428523602276574,0.6,0.4,0.4974001121386992,-0.12228376651043871,-0.15894736842105261,1.4953751405367293,20260703,0.05537657593668355,-0.09684210526315784,54.703897
20260703,300145.SZ,南方泵业,机械基件,创业板,5.55,-0.041450777202072575,0.03313477289650035,0.6,0.4,0.5942899280339723,-0.17669172932330834,-0.23669724770642198,0.9219711174802561,20260703,0.02947324414715702,-0.21212121212121215,52.039421
20260703,300321.SZ,同大股份,塑料,创业板,59.95,-0.06881018949984452,0.21058530133376419,0.5,0.5,0.555992305209055,-0.14980711530218593,-0.2912985865724381,1.0755309572607177,20260703,0.0482760369773898,-0.2778268551236749,47.08823
20260703,300382.SZ,斯莱克,专用机械,创业板,22.5,-0.026395499783643417,0.2497917013831028,0.6,0.4,0.500689190123474,-0.16396292004635005,-0.35829838226482924,0.8972852059747644,20260703,0.04920062252405222,-0.31414574402939377,55.562902
20260703,300440.SZ,运达科技,软件服务,创业板,20.75,-0.05164533820840944,0.040674055870404624,0.55,0.44999999999999996,0.569829877812386,-0.1402251791197543,-0.2637178051511758,0.876883393557525,20260703,0.07289856398060901,-0.21052631578947367,50.919943
